ID,T,X,Y,Z
0,0,242,172,72
0,5,241,170,70
0,10,240,169,68
0,15,239,167,66
0,20,238,166,65
0,25,237,164,63
0,30,236,162,62
0,35,235,161,60
0,40,234,160,59
0,45,233,158,58
0,50,232,157,57
0,55,231,156,56
0,60,230,155,55
0,65,229,154,54
0,70,229,153,53
0,75,228,152,53
0,80,227,152,53
0,85,226,151,52
0,90,226,151,52
0,95,225,150,52
0,100,225,150,53
0,105,224,150,53
0,110,224,149,54
0,115,224,149,54
0,120,224,149,55
0,125,223,149,56
0,130,223,150,58
0,135,223,150,59
0,140,224,150,61
0,145,224,151,63
0,150,224,151,65
0,155,224,152,67
0,160,225,153,70
0,165,225,153,72
0,170,226,154,74
0,175,226,155,76
0,180,227,156,79
0,185,227,157,81
0,190,227,158,83
0,195,228,160,85
0,200,228,161,88
0,205,229,162,90
0,210,229,163,92
0,215,229,165,94
0,220,230,166,96
0,225,230,168,99
0,230,230,169,101
0,235,231,171,103
0,240,231,172,105
0,245,231,174,107
0,250,232,176,109
0,255,232,177,111
0,260,232,179,113
0,265,232,181,115
0,270,233,182,117
0,275,233,184,119
0,280,233,186,121
0,285,233,187,123
0,290,233,189,125
0,295,234,191,128
0,300,234,192,130
0,305,234,194,133
0,310,234,195,135
0,315,234,197,138
0,320,234,198,141
0,325,234,200,143
0,330,234,201,147
0,335,234,202,150
0,340,234,204,153
0,345,234,205,155
0,350,234,206,157
0,355,234,207,159
0,360,234,208,160
0,365,234,209,161
0,370,234,210,162
0,375,234,210,163
0,380,234,211,163
0,385,233,211,164
0,390,233,211,164
0,395,233,211,164
0,400,233,211,164
0,405,233,210,163
0,410,233,209,162
0,415,233,208,162
0,420,233,207,161
0,425,232,206,159
0,430,232,204,158
0,435,232,202,157
0,440,232,200,155
0,445,232,199,153
0,450,232,197,151
0,455,232,195,149
0,460,232,193,147
0,465,232,191,145
0,470,232,189,143
0,475,233,187,140
0,480,233,185,138
0,485,233,183,135
0,490,233,181,132
0,495,234,179,129
0,500,234,177,126
0,505,234,174,123
0,510,234,172,120
0,515,234,170,117
0,520,233,168,113
0,525,232,165,110
0,530,232,163,107
0,535,231,161,104
0,540,230,159,101
0,545,228,156,98
0,550,227,154,96
0,555,225,152,93
0,560,224,150,91
0,565,222,148,89
0,570,220,146,87
0,575,218,143,85
0,580,216,141,83
0,585,214,140,82
0,590,212,138,80
0,595,210,136,79
0,600,208,134,78
0,605,205,133,77
0,610,203,131,76
0,615,201,130,75
0,620,199,129,74
0,625,196,128,73
0,630,194,127,72
0,635,192,126,72
0,640,189,126,71
0,645,187,126,71
0,650,185,126,70
0,655,183,126,70
0,660,181,126,70
0,665,179,127,70
0,670,177,128,70
0,675,175,130,70
0,680,173,131,70
0,685,172,133,71
0,690,171,135,71
0,695,169,137,72
0,700,168,140,73
0,705,167,142,74
0,710,166,146,75
0,715,166,149,77
0,720,165,153,78
0,725,165,157,80
0,730,164,161,82
0,735,164,165,84
0,740,164,169,86
0,745,165,173,89
0,750,165,176,92
0,755,166,180,95
0,760,167,184,98
0,765,168,188,101
0,770,170,191,106
0,775,172,194,109
0,780,174,196,113
0,785,177,198,116
0,790,180,200,119
0,795,183,201,122
0,800,187,203,124
0,805,192,203,127
0,810,196,204,129
0,815,202,204,132
0,820,208,204,134
0,825,214,204,136
0,830,220,204,138
0,835,227,203,139
0,840,234,203,141
0,845,242,202,142
0,850,249,201,144
0,855,255,200,145
0,860,261,199,146
0,865,266,197,148
0,870,270,196,149
0,875,274,195,150
0,880,278,193,150
0,885,282,192,151
0,890,284,190,152
0,895,287,189,152
0,900,289,187,153
0,905,291,185,153
0,910,293,183,154
0,915,294,181,154
0,920,295,179,154
0,925,296,177,155
0,930,296,175,155
0,935,297,173,155
0,940,297,170,155
0,945,296,168,155
0,950,296,166,155
0,955,295,164,154
0,960,295,161,154
0,965,294,159,154
0,970,293,157,154
0,975,292,155,153
0,980,290,153,153
0,985,289,151,152
0,990,287,148,152
0,995,286,146,151
1,0,65,46,115
1,5,63,46,118
1,10,61,46,121
1,15,59,46,125
1,20,58,46,129
1,25,56,45,133
1,30,54,45,137
1,35,52,45,141
1,40,50,45,146
1,45,49,45,151
1,50,47,44,156
1,55,46,44,160
1,60,44,44,163
1,65,43,44,166
1,70,42,44,169
1,75,40,43,172
1,80,39,43,174
1,85,38,43,176
1,90,37,43,177
1,95,37,43,178
1,100,36,43,179
1,105,35,42,180
1,110,35,42,180
1,115,34,42,180
1,120,34,42,179
1,125,34,42,179
1,130,34,42,178
1,135,34,42,177
1,140,34,42,175
1,145,35,42,174
1,150,35,42,172
1,155,36,43,170
1,160,37,43,168
1,165,38,43,165
1,170,39,43,162
1,175,40,43,160
1,180,41,44,157
1,185,43,44,154
1,190,45,44,152
1,195,47,45,149
1,200,49,45,146
1,205,51,46,144
1,210,53,46,141
1,215,56,47,138
1,220,58,47,136
1,225,61,48,133
1,230,64,48,130
1,235,67,49,128
1,240,70,49,125
1,245,73,50,123
1,250,76,51,120
1,255,79,52,118
1,260,83,52,115
1,265,86,53,113
1,270,90,53,111
1,275,94,54,108
1,280,98,54,106
1,285,101,55,104
1,290,104,55,102
1,295,107,55,100
1,300,109,56,98
1,305,111,56,96
1,310,112,56,94
1,315,114,56,93
1,320,115,56,91
1,325,116,56,90
1,330,118,56,88
1,335,119,55,87
1,340,119,55,86
1,345,120,55,85
1,350,121,54,84
1,355,121,54,83
1,360,122,54,83
1,365,122,53,82
1,370,122,53,82
1,375,122,52,82
1,380,122,52,82
1,385,122,51,82
1,390,121,50,82
1,395,121,50,83
1,400,121,49,83
1,405,120,49,84
1,410,119,48,85
1,415,118,47,87
1,420,118,47,88
1,425,117,46,90
1,430,116,46,92
1,435,114,45,94
1,440,113,44,97
1,445,112,44,99
1,450,111,44,102
1,455,109,43,106
1,460,108,43,110
1,465,106,43,113
1,470,104,43,116
1,475,103,43,119
1,480,101,43,122
1,485,99,43,125
1,490,97,43,127
1,495,95,43,130
1,500,93,44,132
1,505,91,45,135
1,510,89,45,137
1,515,87,46,139
1,520,85,48,142
1,525,83,49,144
1,530,81,51,146
1,535,78,53,148
1,540,76,55,150
1,545,74,56,152
1,550,72,57,154
1,555,69,58,156
1,560,67,59,159
1,565,65,59,161
1,570,62,60,163
1,575,60,60,165
1,580,58,61,167
1,585,56,61,169
1,590,53,61,171
1,595,51,61,174
1,600,49,61,176
1,605,47,62,178
1,610,45,62,180
1,615,43,62,182
1,620,41,62,184
1,625,39,62,185
1,630,37,62,186
1,635,35,62,187
1,640,34,63,188
1,645,32,63,189
1,650,31,64,189
1,655,29,64,190
1,660,28,65,190
1,665,27,66,190
1,670,26,67,190
1,675,25,67,190
1,680,24,68,189
1,685,24,68,189
1,690,24,68,188
1,695,24,68,187
1,700,24,68,186
1,705,24,68,185
1,710,24,68,184
1,715,25,67,183
1,720,26,67,182
1,725,27,66,180
1,730,29,66,179
1,735,31,65,177
1,740,33,65,175
1,745,35,64,173
1,750,38,64,171
1,755,41,63,169
1,760,43,63,167
1,765,46,62,164
1,770,49,62,162
1,775,53,62,159
1,780,56,62,157
1,785,59,62,154
1,790,63,62,151
1,795,67,62,148
1,800,71,63,145
1,805,75,63,142
1,810,80,64,139
1,815,85,65,136
1,820,90,66,132
1,825,94,68,129
1,830,98,69,126
1,835,102,70,122
1,840,105,71,118
1,845,108,72,115
1,850,111,73,112
1,855,113,74,109
1,860,115,76,106
1,865,117,77,103
1,870,119,79,100
1,875,120,80,97
1,880,121,82,95
1,885,122,84,92
1,890,122,86,90
1,895,122,88,88
1,900,122,91,86
1,905,122,93,84
1,910,122,95,82
1,915,121,96,80
1,920,121,98,79
1,925,120,99,78
1,930,119,100,76
1,935,118,101,75
1,940,116,101,75
1,945,115,102,74
1,950,114,102,74
1,955,112,103,73
1,960,110,103,73
1,965,109,103,73
1,970,107,103,74
1,975,105,103,74
1,980,103,102,75
1,985,101,102,76
1,990,99,102,77
1,995,97,101,79
2,0,191,119,138
2,5,189,120,139
2,10,186,122,141
2,15,184,124,142
2,20,182,126,142
2,25,180,128,143
2,30,179,130,143
2,35,177,133,143
2,40,175,136,144
2,45,174,139,143
2,50,172,142,143
2,55,171,146,143
2,60,169,149,142
2,65,168,153,141
2,70,167,156,140
2,75,166,160,140
2,80,165,163,138
2,85,164,165,137
2,90,163,168,136
2,95,162,170,135
2,100,162,172,133
2,105,161,174,131
2,110,161,176,130
2,115,161,177,128
2,120,160,178,126
2,125,160,179,124
2,130,160,179,122
2,135,160,180,120
2,140,160,180,118
2,145,161,180,116
2,150,161,180,114
2,155,161,179,112
2,160,162,179,109
2,165,163,178,107
2,170,163,177,105
2,175,164,176,102
2,180,165,175,100
2,185,166,174,97
2,190,167,173,95
2,195,169,171,92
2,200,170,170,89
2,205,171,168,87
2,210,173,167,84
2,215,175,165,81
2,220,177,163,78
2,225,179,162,76
2,230,181,160,73
2,235,183,158,70
2,240,185,156,67
2,245,188,154,64
2,250,190,152,61
2,255,193,150,58
2,260,196,148,55
2,265,199,146,52
2,270,202,144,50
2,275,204,142,47
2,280,206,140,45
2,285,208,138,43
2,290,210,136,40
2,295,212,134,39
2,300,213,132,37
2,305,215,130,35
2,310,216,128,34
2,315,217,126,33
2,320,218,124,31
2,325,218,122,31
2,330,219,121,30
2,335,219,119,29
2,340,219,117,29
2,345,219,115,29
2,350,219,114,29
2,355,219,112,29
2,360,218,111,29
2,365,218,109,30
2,370,217,108,30
2,375,216,106,31
2,380,215,105,32
2,385,214,104,34
2,390,213,102,35
2,395,212,101,37
2,400,211,100,39
2,405,209,99,41
2,410,208,98,43
2,415,207,97,46
2,420,205,97,49
2,425,203,96,52
2,430,202,95,55
2,435,200,95,59
2,440,199,94,62
2,445,197,94,66
2,450,195,94,71
2,455,194,93,75
2,460,192,93,78
2,465,190,93,82
2,470,189,93,85
2,475,187,93,88
2,480,186,93,91
2,485,184,94,94
2,490,183,94,96
2,495,182,94,99
2,500,180,93,101
2,505,179,93,103
2,510,178,93,104
2,515,178,93,106
2,520,177,93,107
2,525,176,93,109
2,530,176,93,110
2,535,176,93,111
2,540,176,93,112
2,545,176,93,113
2,550,177,93,113
2,555,177,93,114
2,560,178,93,114
2,565,179,92,114
2,570,181,92,114
2,575,183,92,114
2,580,185,92,114
2,585,187,92,114
2,590,190,92,114
2,595,192,92,114
2,600,194,92,113
2,605,196,92,113
2,610,198,92,112
2,615,200,92,111
2,620,202,92,111
2,625,204,93,110
2,630,206,93,109
2,635,207,93,108
2,640,209,93,107
2,645,211,93,106
2,650,213,94,105
2,655,215,94,104
2,660,217,94,103
2,665,220,95,102
2,670,222,95,101
2,675,223,96,100
2,680,225,96,99
2,685,226,97,98
2,690,227,97,96
2,695,227,98,95
2,700,228,99,94
2,705,228,100,93
2,710,228,101,92
2,715,227,102,91
2,720,227,103,90
2,725,227,104,89
2,730,226,105,87
2,735,225,106,86
2,740,224,108,85
2,745,223,109,83
2,750,222,110,82
2,755,221,112,80
2,760,220,113,78
2,765,219,114,77
2,770,217,116,75
2,775,216,117,74
2,780,215,119,72
2,785,213,120,70
2,790,212,122,68
2,795,211,123,67
2,800,209,125,65
2,805,208,127,63
2,810,207,129,62
2,815,206,131,60
2,820,205,133,59
2,825,203,135,57
2,830,202,138,56
2,835,202,140,54
2,840,201,144,53
2,845,200,146,52
2,850,199,148,51
2,855,199,150,49
2,860,198,152,48
2,865,198,154,48
2,870,198,155,47
2,875,198,156,46
2,880,198,157,46
2,885,198,157,45
2,890,198,158,45
2,895,198,158,45
2,900,198,158,44
2,905,198,158,44
2,910,198,158,44
2,915,198,158,44
2,920,198,157,44
2,925,198,157,44
2,930,199,156,43
2,935,199,156,44
2,940,200,155,44
2,945,200,154,45
2,950,201,153,47
2,955,202,153,48
2,960,202,152,50
2,965,203,151,50
2,970,204,150,51
2,975,205,149,52
2,980,206,148,53
2,985,207,147,53
2,990,208,146,54
2,995,208,145,54
3,0,113,200,66
3,5,115,199,67
3,10,117,198,69
3,15,119,197,70
3,20,121,197,71
3,25,123,196,72
3,30,125,195,74
3,35,126,193,75
3,40,128,192,76
3,45,130,191,77
3,50,131,190,79
3,55,132,189,80
3,60,133,187,81
3,65,134,186,83
3,70,134,185,84
3,75,134,183,86
3,80,134,182,87
3,85,134,181,89
3,90,134,179,91
3,95,133,178,93
3,100,133,177,95
3,105,132,175,97
3,110,131,174,99
3,115,130,173,102
3,120,129,171,105
3,125,128,170,106
3,130,126,169,108
3,135,125,168,110
3,140,124,166,111
3,145,122,165,112
3,150,121,164,113
3,155,119,162,113
3,160,117,161,114
3,165,116,159,114
3,170,114,157,114
3,175,112,156,114
3,180,111,154,114
3,185,109,152,114
3,190,107,150,114
3,195,106,148,113
3,200,104,146,113
3,205,102,145,112
3,210,101,143,111
3,215,99,142,110
3,220,98,141,109
3,225,96,140,108
3,230,95,139,107
3,235,94,138,106
3,240,92,137,105
3,245,91,137,103
3,250,90,136,102
3,255,89,136,101
3,260,88,136,99
3,265,87,136,98
3,270,87,136,96
3,275,86,136,95
3,280,85,136,93
3,285,84,137,92
3,290,83,137,90
3,295,82,138,89
3,300,82,139,88
3,305,81,140,86
3,310,80,142,85
3,315,79,143,83
3,320,78,144,82
3,325,77,146,81
3,330,76,148,79
3,335,76,150,78
3,340,75,152,77
3,345,74,155,76
3,350,73,157,74
3,355,73,160,73
3,360,72,163,72
3,365,71,166,71
3,370,71,169,71
3,375,70,172,70
3,380,69,176,69
3,385,69,180,69
3,390,68,184,68
3,395,68,188,68
3,400,67,191,67
3,405,67,194,67
3,410,67,197,67
3,415,66,200,67
3,420,66,203,67
3,425,65,205,67
3,430,65,207,68
3,435,65,209,68
3,440,65,211,69
3,445,64,212,70
3,450,64,213,71
3,455,64,214,72
3,460,64,215,73
3,465,64,216,74
3,470,64,216,76
3,475,64,217,78
3,480,63,217,80
3,485,63,217,82
3,490,63,216,84
3,495,63,216,86
3,500,63,215,89
3,505,63,214,92
