ID,T,X,Y,Z
0,0,243,173,36
0,1,242,171,35
0,2,241,170,34
0,3,240,168,33
0,4,239,167,33
0,5,238,165,32
0,6,237,163,31
0,7,236,162,30
0,8,235,161,30
0,9,234,159,29
0,10,233,158,29
0,11,232,157,28
0,12,231,156,28
0,13,230,155,27
0,14,230,154,27
0,15,229,153,27
0,16,228,153,27
0,17,227,152,26
0,18,227,152,26
0,19,226,151,26
0,20,226,151,27
0,21,225,151,27
0,22,225,150,27
0,23,225,150,27
0,24,225,150,28
0,25,224,150,28
0,26,224,151,29
0,27,224,151,30
0,28,225,151,31
0,29,225,152,32
0,30,225,152,33
0,31,225,153,34
0,32,226,154,35
0,33,226,154,36
0,34,227,155,37
0,35,227,156,38
0,36,228,157,40
0,37,228,158,41
0,38,228,159,42
0,39,229,161,43
0,40,229,162,44
0,41,230,163,45
0,42,230,164,46
0,43,230,166,47
0,44,231,167,48
0,45,231,169,50
0,46,231,170,51
0,47,232,172,52
0,48,232,173,53
0,49,232,175,54
0,50,233,177,55
0,51,233,178,56
0,52,233,180,57
0,53,233,182,58
0,54,234,183,59
0,55,234,185,60
0,56,234,187,61
0,57,234,188,62
0,58,234,190,63
0,59,235,192,64
0,60,235,193,65
0,61,235,195,67
0,62,235,196,68
0,63,235,198,69
0,64,235,199,71
0,65,235,201,72
0,66,235,202,74
0,67,235,203,75
0,68,235,205,77
0,69,235,206,78
0,70,235,207,79
0,71,235,208,80
0,72,235,209,80
0,73,235,210,81
0,74,235,211,81
0,75,235,211,82
0,76,235,212,82
0,77,234,212,82
0,78,234,212,82
0,79,234,212,82
0,80,234,212,82
0,81,234,211,82
0,82,234,210,81
0,83,234,209,81
0,84,234,208,81
0,85,233,207,80
0,86,233,205,79
0,87,233,203,79
0,88,233,201,78
0,89,233,200,77
0,90,233,198,76
0,91,233,196,75
0,92,233,194,74
0,93,233,192,73
0,94,233,190,72
0,95,234,188,70
0,96,234,186,69
0,97,234,184,68
0,98,234,182,66
0,99,235,180,65
1,0,66,47,58
1,1,64,47,59
1,2,62,47,61
1,3,60,47,63
1,4,59,47,65
1,5,57,46,67
1,6,55,46,69
1,7,53,46,71
1,8,51,46,73
1,9,50,46,76
1,10,48,45,78
1,11,47,45,80
1,12,45,45,82
1,13,44,45,83
1,14,43,45,85
1,15,41,44,86
1,16,40,44,87
1,17,39,44,88
1,18,38,44,89
1,19,38,44,89
1,20,37,44,90
1,21,36,43,90
1,22,36,43,90
1,23,35,43,90
1,24,35,43,90
1,25,35,43,90
1,26,35,43,89
1,27,35,43,89
1,28,35,43,88
1,29,36,43,87
1,30,36,43,86
1,31,37,44,85
1,32,38,44,84
1,33,39,44,83
1,34,40,44,81
1,35,41,44,80
1,36,42,45,79
1,37,44,45,77
1,38,46,45,76
1,39,48,46,75
1,40,50,46,73
1,41,52,47,72
1,42,54,47,71
1,43,57,48,69
1,44,59,48,68
1,45,62,49,67
1,46,65,49,65
1,47,68,50,64
1,48,71,50,63
1,49,74,51,62
1,50,77,52,60
1,51,80,53,59
1,52,84,53,58
1,53,87,54,57
1,54,91,54,56
1,55,95,55,54
1,56,99,55,53
1,57,102,56,52
1,58,105,56,51
1,59,108,56,50
1,60,110,57,49
1,61,112,57,48
1,62,113,57,47
1,63,115,57,47
1,64,116,57,46
1,65,117,57,45
1,66,119,57,44
1,67,120,56,44
1,68,120,56,43
1,69,121,56,43
1,70,122,55,42
1,71,122,55,42
1,72,123,55,42
1,73,123,54,41
1,74,123,54,41
1,75,123,53,41
1,76,123,53,41
1,77,123,52,41
1,78,122,51,41
1,79,122,51,42
1,80,122,50,42
1,81,121,50,42
1,82,120,49,43
1,83,119,48,44
1,84,119,48,44
1,85,118,47,45
1,86,117,47,46
1,87,115,46,47
1,88,114,45,49
1,89,113,45,50
1,90,112,45,51
1,91,110,44,53
1,92,109,44,55
1,93,107,44,57
1,94,105,44,58
1,95,104,44,60
1,96,102,44,61
1,97,100,44,63
1,98,98,44,64
1,99,96,44,65
2,0,192,120,69
2,1,190,121,70
2,2,187,123,71
