ID,T,X,Y,Z
0,8,113,152,33
0,9,110,151,34
0,10,109,149,36
0,11,107,149,38
0,12,105,148,39
0,13,103,148,40
0,14,101,148,40
0,15,100,149,41
0,16,98,149,41
0,17,97,151,41
0,18,96,153,41
0,19,95,156,41
0,20,95,160,41
0,21,94,163,41
0,22,95,168,40
0,23,95,173,40
0,24,96,177,39
0,25,96,180,38
0,26,97,182,37
0,27,99,184,36
0,28,100,187,34
0,29,101,188,33
0,30,102,189,31
0,31,103,190,29
0,32,104,191,27
0,33,105,191,26
0,34,106,191,24
0,35,107,191,22
0,36,107,191,21
0,37,108,191,20
0,38,108,190,19
0,39,108,189,18
0,40,108,188,17
0,41,107,188,16
0,42,107,187,15
0,43,106,185,15
0,44,104,184,15
0,45,103,183,14
0,46,101,182,14
0,47,100,181,14
0,48,98,179,15
0,49,96,177,15
0,50,94,174,16
0,51,93,171,17
0,52,92,169,19
0,53,92,167,20
0,54,92,164,22
0,55,93,163,24
0,56,94,160,26
0,57,96,160,28
0,58,99,158,29
0,59,102,157,31
0,60,106,156,32
0,61,108,156,33
0,62,110,155,33
0,63,111,154,34
0,64,111,153,35
0,65,112,153,36
0,66,111,152,36
0,67,110,150,37
0,68,110,149,38
0,69,108,148,38
0,70,107,147,38
0,71,105,146,38
0,72,103,144,38
0,73,100,142,38
0,74,99,141,38
0,75,96,139,38
0,76,94,138,37
0,77,93,136,37
0,78,91,135,37
0,79,89,133,37
0,80,89,132,37
0,81,88,131,37
0,82,88,129,36
0,83,88,128,36
0,84,89,127,36
0,85,91,125,35
0,86,93,124,34
0,87,96,124,33
0,88,100,123,33
0,89,104,123,31
0,90,107,123,30
0,91,110,123,29
0,92,111,124,28
0,93,112,124,27
0,94,112,126,27
0,95,112,128,26
0,96,111,130,26
0,97,110,133,25
0,98,110,137,25
0,99,107,141,25
1,0,100,111,79
1,1,100,109,80
1,2,100,107,80
1,3,102,104,81
1,5,107,100,81
1,6,110,97,81
1,7,113,95,81
1,8,115,93,81
1,9,117,90,81
1,10,119,88,80
1,11,120,86,80
1,12,121,84,80
1,13,121,82,79
1,14,121,82,78
1,15,121,83,78
1,16,121,84,77
1,17,121,86,76
1,18,121,89,75
1,19,121,92,75
1,20,121,96,74
1,21,121,102,73
1,22,121,109,72
1,23,121,114,71
1,24,121,120,71
1,25,121,124,71
1,26,122,126,70
1,27,123,128,70
1,28,124,130,70
1,29,126,131,70
1,30,128,131,71
1,31,130,131,71
1,32,132,130,72
1,33,132,129,73
1,34,133,128,74
1,35,134,126,76
1,36,133,124,78
1,37,133,122,80
1,38,132,120,83
1,39,132,118,85
1,40,130,117,88
1,41,128,115,91
1,42,126,114,93
1,43,124,113,95
1,44,121,112,97
1,45,119,112,99
1,46,116,112,102
1,47,113,114,104
1,48,109,115,105
1,49,105,117,106
1,53,93,128,106
1,54,91,131,105
1,55,89,135,104
1,56,88,139,103
1,57,87,141,102
1,58,87,142,101
1,59,87,143,99
1,60,88,144,98
1,61,89,144,97
1,62,91,144,96
1,63,93,143,94
1,64,96,142,93
1,65,100,142,92
1,66,102,140,91
1,67,104,139,89
1,68,105,137,89
1,69,105,135,87
1,70,106,134,87
1,71,107,132,86
1,72,107,130,86
1,73,107,128,85
1,74,107,127,85
1,75,107,125,85
1,76,107,124,85
1,77,106,122,86
1,78,105,121,87
1,79,104,119,87
1,80,103,118,88
1,81,102,117,89
1,82,100,116,90
1,83,99,115,91
1,84,97,114,91
1,85,96,114,92
1,86,95,114,92
1,87,93,114,93
1,88,92,113,94
1,89,90,113,94
1,90,89,114,95
1,91,88,114,95
1,92,87,114,96
1,93,86,114,96
1,94,86,115,96
1,95,86,117,96
1,96,86,117,95
1,97,86,119,95
1,98,86,121,94
1,99,88,122,94
2,14,132,84,91
2,15,132,88,91
2,16,133,91,92
2,17,135,93,92
2,18,137,96,92
2,19,141,97,92
2,20,144,98,92
2,21,148,98,92
2,22,151,98,92
2,23,154,97,92
2,24,157,96,92
2,25,161,95,92
2,26,166,93,93
2,27,170,92,93
2,28,174,89,93
2,29,178,87,93
2,30,181,84,93
2,31,184,81,93
2,32,186,78,93
2,33,188,75,93
2,34,190,71,93
2,35,192,68,92
2,36,193,63,92
2,37,194,59,92
2,38,194,54,92
2,39,193,50,92
2,40,191,45,92
2,41,189,41,92
2,42,187,37,91
2,43,184,33,91
2,44,181,30,90
2,45,178,27,89
2,46,174,25,88
2,47,171,23,87
2,48,168,20,87
2,49,165,19,86
2,50,163,17,85
2,51,160,16,84
2,52,157,15,84
2,53,155,14,83
2,54,153,14,82
2,55,151,14,82
2,56,149,14,81
2,57,147,15,81
2,58,146,15,81
2,59,144,16,82
2,60,142,16,82
2,61,141,16,83
2,62,140,16,84
2,63,139,16,86
2,64,138,16,88
2,65,138,17,90
2,66,137,17,92
2,67,137,18,93
2,68,137,19,94
2,69,137,19,96
2,70,137,20,98
2,71,138,22,99
2,72,139,23,101
2,73,139,24,103
2,74,140,26,105
2,75,141,29,107
2,76,142,31,108
2,77,143,34,109
2,78,145,37,110
2,79,146,40,110
2,80,147,42,110
2,81,149,44,110
2,82,150,45,110
2,83,152,45,110
2,84,153,45,110
2,85,154,45,110
2,86,156,45,109
2,87,157,44,109
2,88,158,43,108
2,89,160,42,108
2,90,160,40,108
3,25,58,100,79
3,26,61,102,79
3,27,65,102,80
3,28,68,103,80
3,29,70,102,79
3,30,72,101,79
3,31,72,100,78
3,32,72,99,78
3,33,72,97,77
3,34,71,95,76
3,35,70,93,75
3,36,68,90,74
3,37,68,88,73
3,38,66,85,73
3,39,65,82,72
3,40,63,79,71
3,41,61,75,70
3,42,60,72,70
3,43,58,68,69
3,44,57,65,68
3,45,55,62,67
3,46,54,59,66
3,47,52,55,64
3,48,51,53,63
3,49,51,50,62
3,50,50,47,60
3,51,49,45,59
3,52,49,43,58
3,53,49,41,57
3,54,50,40,57
3,55,51,39,56
3,56,52,38,56
3,57,54,39,55
3,58,57,40,55
3,59,60,41,56
3,60,64,44,56
3,61,68,46,56
3,62,70,48,57
3,63,72,51,57
3,64,75,54,58
3,65,75,58,59
3,66,77,61,59
3,67,78,65,60
3,68,78,70,61
3,69,79,75,62
3,70,79,81,62
3,71,79,88,63
3,72,79,95,64
3,73,78,100,65
3,74,78,105,65
3,75,78,109,66
3,76,77,111,66
3,77,77,113,67
3,78,76,114,67
3,79,75,114,68
3,80,74,113,68
3,81,72,111,68
3,82,71,110,68
3,83,69,107,67
3,84,67,103,67
3,85,65,99,66
3,86,64,94,66
3,87,61,90,65
3,88,60,86,64
3,89,58,81,63
3,90,56,77,62
3,91,54,73,61
3,92,53,69,60
3,93,51,65,59
3,94,50,62,57
3,95,49,58,56
3,96,47,55,55
3,97,47,53,54
3,98,46,50,52
3,99,46,47,51
4,0,116,64,73
4,1,116,63,75
4,6,118,58,80
4,7,119,58,81
4,8,120,57,82
4,9,120,57,83
4,10,121,57,84
4,11,121,56,85
4,12,121,56,85
4,13,122,57,86
4,14,123,57,87
4,15,123,58,88
4,16,124,58,88
4,17,124,60,89
4,18,124,61,89
4,19,124,63,90
4,20,125,65,91
4,21,126,67,91
4,22,127,68,92
4,23,128,68,93
4,24,128,68,94
4,25,130,68,95
4,26,132,68,97
4,27,133,68,98
4,28,135,67,98
4,29,136,65,98
4,30,137,64,98
4,31,137,62,98
4,32,137,61,97
4,33,137,58,96
4,34,137,57,94
4,35,136,54,93
4,36,136,52,91
4,37,135,50,90
4,38,135,48,89
4,39,135,46,87
4,40,135,44,86
4,41,136,42,85
4,42,137,41,84
4,43,139,40,82
4,44,139,38,81
4,45,139,37,80
4,46,139,37,80
4,47,138,36,79
4,48,137,36,78
4,49,135,36,78
4,50,133,36,77
4,51,132,37,77
4,52,129,38,77
4,53,128,40,77
4,54,126,43,77
4,55,124,47,77
4,56,124,51,77
4,57,123,56,78
4,58,123,60,78
4,59,123,64,78
4,60,124,68,79
4,61,126,71,80
4,62,129,73,81
4,63,132,75,82
4,64,134,76,84
4,65,135,77,85
4,66,137,78,87
4,67,139,79,88
4,68,140,79,90
4,69,142,79,91
4,70,144,79,91
4,71,146,80,92
4,72,149,81,92
4,73,151,82,92
4,74,154,83,92
4,75,156,85,92
4,76,158,87,92
4,77,160,90,92
4,78,161,93,91
4,79,163,94,91
4,80,163,96,90
4,81,164,96,89
4,82,165,96,88
4,83,166,95,87
4,84,167,93,86
4,85,167,91,85
4,86,167,89,84
5,2,166,170,71
5,3,170,167,70
5,4,176,162,68
5,5,181,158,67
5,6,188,153,66
5,7,192,148,65
5,8,197,142,64
5,9,200,137,63
5,10,203,132,62
5,11,205,126,62
5,12,207,121,62
5,13,208,117,62
5,14,209,114,62
5,15,209,110,63
5,16,209,107,64
5,17,209,104,66
5,18,208,102,68
5,19,207,100,70
5,20,205,99,73
5,21,205,99,76
5,22,202,99,79
5,23,201,100,83
5,24,199,100,87
5,25,197,103,91
5,26,195,106,94
5,27,192,110,96
5,28,190,114,98
5,29,187,120,100
5,30,184,126,101
5,31,182,134,102
5,32,180,142,103
5,33,177,150,103
5,34,174,156,103
5,35,172,162,103
5,36,170,167,102
5,37,167,170,101
5,38,165,174,100
5,39,163,177,99
5,40,160,179,98
5,41,159,181,96
5,42,157,181,95
5,43,156,182,93
5,44,155,182,91
5,45,154,181,89
5,46,154,181,87
5,47,154,180,85
5,48,154,179,83
5,49,156,177,81
5,50,156,176,79
5,51,159,174,77
5,52,161,171,75
5,53,165,169,73
5,54,169,167,71
5,55,174,164,68
5,56,179,162,66
5,57,186,159,63
5,58,193,156,61
5,59,199,153,58
5,60,205,150,55
5,61,210,148,53
5,62,215,145,51
5,63,219,142,50
5,64,223,139,49
5,65,226,137,49
5,66,228,135,49
5,67,230,132,50
5,68,232,130,51
5,69,233,128,53
5,70,233,127,55
5,71,233,125,58
5,72,233,124,60
5,73,232,124,62
5,74,230,123,64
5,75,228,123,65
5,76,226,124,67
5,77,223,124,68
5,78,221,126,70
5,79,218,128,71
5,80,214,132,72
5,81,211,134,73
5,82,207,136,74
5,83,204,138,75
5,84,200,140,75
5,85,197,142,76
5,86,193,143,77
5,87,190,145,77
5,88,186,147,77
5,89,183,149,78
5,90,181,151,78
5,91,177,153,78
5,92,175,155,78
5,93,174,156,78
5,94,172,157,78
5,95,171,158,78
5,96,171,158,78
5,97,171,158,78
5,98,173,157,78
5,99,174,156,78
6,0,166,71,61
6,1,163,73,62
6,2,162,75,62
6,3,160,78,63
6,4,156,81,63
6,5,153,85,63
6,6,150,89,63
6,7,146,93,63
6,8,143,97,62
6,9,140,100,62
6,10,136,103,61
6,11,133,104,60
6,12,131,106,59
6,13,128,107,57
6,14,126,107,55
6,15,124,108,54
6,16,123,107,52
6,17,121,107,50
6,18,121,107,48
6,19,121,105,46
6,20,121,103,43
6,21,122,101,41
6,22,124,99,39
6,23,125,97,37
6,24,128,96,34
6,25,133,94,33
6,26,137,93,31
6,27,141,92,29
6,28,144,90,27
6,29,146,89,26
6,30,149,89,24
6,31,150,88,24
6,32,151,87,23
6,33,153,86,23
6,34,153,86,23
6,35,153,86,24
6,36,153,86,26
6,37,153,85,27
6,38,153,84,30
6,39,153,84,32
6,40,153,83,34
6,41,153,83,36
6,42,153,82,39
6,43,153,82,41
6,44,153,82,44
6,45,153,82,46
6,46,152,81,48
6,47,152,81,49
6,48,152,80,50
6,49,152,79,51
6,50,152,79,52
6,51,151,79,54
6,52,151,79,55
6,53,151,78,56
6,54,151,78,57
6,55,151,78,59
6,56,151,78,61
6,57,150,78,62
6,58,150,79,62
6,59,149,79,63
6,60,149,80,63
6,61,149,82,62
6,62,148,83,62
6,63,147,86,61
6,64,146,89,61
6,65,144,92,60
6,66,143,95,59
6,67,141,98,58
6,68,139,100,57
6,69,137,101,56
6,70,135,101,55
6,71,134,102,54
6,72,133,101,53
6,73,132,100,52
6,74,132,100,52
6,75,132,98,51
6,76,132,97,50
6,77,132,96,50
6,78,132,94,49
6,79,132,93,49
6,80,133,92,49
6,81,135,91,48
6,82,136,91,48
6,83,138,91,48
6,84,140,90,48
6,85,143,90,49
6,86,146,89,49
6,87,149,88,49
6,88,153,86,50
6,89,159,84,50
6,90,163,82,50
6,91,167,80,50
6,92,170,77,51
6,93,174,75,51
6,94,176,72,51
6,95,177,69,51
6,96,178,66,51
6,97,179,64,51
6,98,178,61,51
6,99,177,60,51
7,37,54,52,85
7,38,55,52,83
7,39,56,53,81
7,40,57,53,79
7,41,56,53,77
7,42,56,54,75
7,43,55,54,73
7,44,54,55,72
7,45,53,57,71
7,46,52,58,70
7,47,50,59,68
7,48,48,61,68
7,49,47,62,68
7,50,44,64,68
7,51,42,66,68
7,52,40,68,69
7,53,37,70,70
7,54,34,72,72
7,55,32,75,75
7,56,30,78,78
7,57,26,81,82
7,58,24,84,86
7,59,22,87,90
7,60,20,91,94
7,61,19,95,96
7,62,19,99,99
7,63,19,103,101
7,64,21,108,102
7,65,23,113,103
7,66,27,119,103
7,67,30,123,103
7,68,32,126,103
7,69,34,128,103
7,70,36,130,102
7,71,38,131,101
7,72,40,131,100
7,73,42,130,98
7,74,44,128,97
7,75,46,126,96
7,76,48,123,94
7,77,51,120,92
7,78,53,115,91
7,79,55,110,89
7,80,57,105,87
7,81,58,99,86
7,82,59,93,84
7,83,59,87,83
7,84,60,81,82
7,85,60,75,80
7,86,60,69,80
7,87,60,65,79
7,88,60,60,78
7,89,60,56,77
7,90,59,52,77
7,91,59,48,76
7,92,59,46,76
7,93,59,43,75
7,94,60,40,75
7,95,60,37,75
7,96,61,35,75
7,97,62,33,75
7,98,65,32,76
7,99,66,30,76
8,0,161,121,55
8,1,163,121,55
8,2,166,121,54
8,3,168,121,54
8,4,171,121,54
8,5,175,121,53
8,6,179,122,53
8,7,184,122,52
8,8,188,123,52
8,9,192,124,52
8,10,195,124,52
8,11,198,126,53
8,12,199,128,53
8,13,200,129,54
8,14,201,132,55
8,15,201,134,55
8,16,200,135,56
8,17,199,139,57
8,18,198,141,57
8,19,196,144,58
8,20,194,148,58
8,21,192,151,58
8,22,189,154,58
8,23,187,157,58
8,24,184,160,58
8,25,180,161,58
8,26,175,163,58
8,27,171,163,58
8,28,167,163,57
8,29,163,163,57
8,30,160,162,57
8,31,156,161,57
8,32,153,160,57
8,33,149,158,57
8,34,146,156,56
8,35,144,153,56
8,36,142,151,57
8,37,139,148,57
